ano,mes,dia,hora,Dia_semana,QTD_Tags,R$_Tags
2016,9,13,10,1,264,360.6800
2016,9,13,11,1,203,332.3600
2016,9,13,12,1,170,275.3700
2016,9,13,13,1,242,341.6800
2016,9,13,14,1,255,378.5700
2016,9,13,15,1,230,351.1800
2016,9,13,16,1,218,346.4000
2016,9,13,17,1,186,290.9100
2016,9,13,18,1,79,186.0000
2016,9,14,7,2,7,13.2500
2016,9,14,8,2,108,122.9400
2016,9,14,9,2,184,163.9600
2016,9,14,10,2,250,366.0000
2016,9,14,11,2,225,323.4400
2016,9,14,12,2,202,324.8000
2016,9,14,13,2,256,404.1400
2016,9,14,14,2,248,404.9500
2016,9,14,15,2,242,389.8400
2016,9,14,16,2,236,342.9300
2016,9,14,17,2,199,276.4600
2016,9,14,18,2,80,189.0000
2016,9,15,6,3,2,3.0200
2016,9,15,7,3,11,37.4700
2016,9,15,8,3,107,106.9800
2016,9,15,9,3,167,173.8700
2016,9,15,10,3,228,327.6500
2016,9,15,11,3,207,323.8600
2016,9,15,12,3,193,315.2500
2016,9,15,13,3,242,399.0300
2016,9,15,14,3,234,353.9800
2016,9,15,15,3,252,354.5400
2016,9,15,16,3,244,340.3500
2016,9,15,17,3,201,286.4600
2016,9,15,18,3,82,181.0000
2016,9,16,7,4,8,21.6400
2016,9,16,8,4,78,95.9500
2016,9,16,9,4,160,176.5200
2016,9,16,10,4,237,327.7600
2016,9,16,11,4,212,322.6800
2016,9,16,12,4,189,314.1200
2016,9,16,13,4,247,361.0500
2016,9,16,14,4,223,336.6100
2016,9,16,15,4,226,340.7000
2016,9,16,16,4,246,337.8800
2016,9,16,17,4,197,304.2500
2016,9,16,18,4,77,199.0000
2016,9,17,6,5,1,0.5100
2016,9,17,7,5,6,19.2700
2016,9,17,8,5,85,87.7600
2016,9,17,9,5,190,223.0500
2016,9,17,10,5,230,357.1000
2016,9,17,11,5,197,303.3700
2016,9,17,12,5,77,199.0000
2016,9,19,6,0,1,3.8500
2016,9,19,7,0,8,21.3100
2016,9,19,8,0,60,71.4700
2016,9,19,9,0,113,114.2500
2016,9,19,10,0,163,296.7100
2016,9,19,11,0,210,305.4300
2016,9,19,12,0,193,313.0400
2016,9,19,13,0,249,371.0000
2016,9,19,14,0,278,394.8000
2016,9,19,15,0,261,354.7000
2016,9,19,16,0,247,369.4700
2016,9,19,17,0,208,303.3500
2016,9,19,18,0,79,200.0000
2016,9,20,6,1,1,0.6800
2016,9,20,7,1,13,39.5400
2016,9,20,8,1,94,99.2200
2016,9,20,9,1,183,178.4900
2016,9,20,10,1,240,352.5600
2016,9,20,11,1,208,325.7500
2016,9,20,12,1,191,317.4400
2016,9,20,13,1,254,413.8600
2016,9,20,14,1,247,374.0800
2016,9,20,15,1,240,363.2800
2016,9,20,16,1,229,325.6300
2016,9,20,17,1,203,292.0100
2016,9,20,18,1,81,201.0000
2016,9,21,6,2,3,11.5700
2016,9,21,7,2,6,8.7400
2016,9,21,8,2,75,100.8300
2016,9,21,9,2,63,65.4200
2016,9,21,10,2,184,242.4800
2016,9,21,11,2,192,316.2700
2016,9,21,12,2,175,301.5700
2016,9,21,13,2,222,359.6400
2016,9,21,14,2,236,356.9300
2016,9,21,15,2,242,350.9600
2016,9,21,16,2,229,320.1900
2016,9,21,17,2,208,310.4100
2016,9,21,18,2,77,189.0000
2016,9,22,6,3,1,0.8500
2016,9,22,7,3,13,33.3700
2016,9,22,8,3,99,112.3100
2016,9,22,9,3,199,198.2700
2016,9,22,10,3,246,367.6600
2016,9,22,11,3,194,341.6000
2016,9,22,12,3,191,321.8500
2016,9,22,13,3,243,383.2100
2016,9,22,14,3,235,380.5200
2016,9,22,15,3,240,368.0500
2016,9,22,16,3,243,346.9000
2016,9,22,17,3,190,271.1800
2016,9,22,18,3,80,214.0000
2016,9,23,6,4,1,1.5100
2016,9,23,7,4,10,40.3000
2016,9,23,8,4,90,83.3700
2016,9,23,9,4,157,143.1800
2016,9,23,10,4,236,363.8400
2016,9,23,11,4,184,281.2300
2016,9,23,12,4,178,288.5300
2016,9,23,13,4,226,397.5000
2016,9,23,14,4,232,361.9600
2016,9,23,15,4,233,368.7600
2016,9,23,16,4,236,339.6200
2016,9,23,17,4,201,293.0100
2016,9,23,18,4,80,195.0000
2016,9,24,7,5,8,23.9500
2016,9,24,8,5,93,104.5200
2016,9,24,9,5,162,173.7300
2016,9,24,10,5,250,374.2700
2016,9,24,11,5,196,287.8200
2016,9,24,12,5,79,195.0000
2016,9,26,7,0,10,27.6700
2016,9,26,8,0,95,92.5800
2016,9,26,9,0,175,167.7200
2016,9,26,10,0,221,313.4100
2016,9,26,11,0,205,326.7900
2016,9,26,12,0,173,304.8000
2016,9,26,13,0,253,368.0500
2016,9,26,14,0,254,383.0000
2016,9,26,15,0,210,297.5300
2016,9,26,16,0,238,339.2300
2016,9,26,17,0,191,262.8700
2016,9,26,18,0,79,189.0000
2016,9,27,6,1,1,4.6800
2016,9,27,7,1,4,6.1100
2016,9,27,8,1,71,73.1500
2016,9,27,9,1,176,188.8400
2016,9,27,10,1,222,311.5600
2016,9,27,11,1,198,279.0100
2016,9,27,12,1,171,317.2000
2016,9,27,13,1,216,360.6900
2016,9,27,14,1,233,388.5800
2016,9,27,15,1,205,345.7100
2016,9,27,16,1,208,340.3900
2016,9,27,17,1,213,285.0300
2016,9,27,18,1,79,196.0000
2016,9,28,6,2,2,4.8500
2016,9,28,7,2,11,26.9300
2016,9,28,8,2,92,99.4400
2016,9,28,9,2,145,144.7600
2016,9,28,10,2,227,344.5400
2016,9,28,11,2,202,326.3100
2016,9,28,12,2,169,314.0700
2016,9,28,13,2,217,321.4200
2016,9,28,14,2,233,347.0300
2016,9,28,15,2,224,334.0200
2016,9,28,16,2,232,345.5900
2016,9,28,17,2,193,292.2700
2016,9,28,18,2,77,184.0000
2016,9,29,6,3,1,0.8500
2016,9,29,7,3,12,20.3100
2016,9,29,8,3,104,124.2500
2016,9,29,9,3,166,170.7900
2016,9,29,10,3,263,375.8900
2016,9,29,11,3,224,372.9300
2016,9,29,12,3,167,262.0900
2016,9,29,13,3,226,375.1400
2016,9,29,14,3,241,370.4200
2016,9,29,15,3,220,352.2100
2016,9,29,16,3,231,335.5900
2016,9,29,17,3,200,287.3300
2016,9,29,18,3,79,198.0000
2016,9,30,7,4,8,21.6100
2016,9,30,8,4,106,117.7700
2016,9,30,9,4,191,195.8000
2016,9,30,10,4,235,316.2000
2016,9,30,11,4,226,318.2100
2016,9,30,12,4,181,299.2100
2016,9,30,13,4,224,374.3000
2016,9,30,14,4,256,359.0600
2016,9,30,15,4,244,376.2600
2016,9,30,16,4,242,343.6900
2016,9,30,17,4,199,287.8900
2016,9,30,18,4,78,210.0000
2016,10,1,4,5,1,1.3400
2016,10,1,6,5,2,10.2300
2016,10,1,7,5,5,10.3800
2016,10,1,8,5,111,146.1200
2016,10,1,9,5,178,203.4900
2016,10,1,10,5,251,381.6900
2016,10,1,11,5,218,317.1000
2016,10,1,12,5,83,203.0000
2016,10,3,7,0,5,16.7200
